"Country","Factory_Name","Address","City","Code","Province","Factory_Number","Product_Type","Total_Workers","Female_Workers","Male_Workers","Migrant_Workers","Parent_Organization_Name","Line_Workers","Factory_Type","Supplier_Group","Corporation_Brand","Region"
"Vietnam","VIRTUE KING VIETNAM COMPANY LIMITED","No 28 DT743 Road Song Than 2 Industrial Zone","Binh Duong","72000","Bình Duong","","Equipment","1608","1142","466","0","","1553","FINISHED GOODS","GUANG DER","Nike","SE ASIA"
"Vietnam","Vo Nhai 1 Garment Branch – TNG Investment and Trading JSC","Cay Bong Industrial Park La Hien Commune Vo Nhai District","Thai Nguyen","24000","Thái Nguyên","","Apparel","734","551","183","0","","705","FINISHED GOODS","VO NHAI 1 GARMENT BRANCH","Nike","SE ASIA"
"Vietnam","Vung Tau Orient Co., Ltd - unit 02","Chau Duc Industrial zone Ba Ria Vung Tau Province","Chau Duc District","78000","Bà Ra - Vung Tàu","","Equipment","3110","2270","840","0","","2623","FINISHED GOODS","FENG TAY","Nike","SE ASIA"
"Vietnam","Vung Tau Orient Co., Ltd","11 Road Dong Xuyen Industrial Zone Ward Rach Dua","Vung Tau","78000","Bà Ra - Vung Tàu","","Equipment","1464","893","571","0","","1413","FINISHED GOODS","FENG TAY","Nike","SE ASIA"
"Brazil","W.S. Calcados Ltda.","Rua Vicente Prieto, 8121","Nova Petropolis","95150-000","Rio Grande do Sul","","Footwear","87","70","17","0","","84","FINISHED GOODS","W.S CALCADOS","Converse","AMERICAS"
"Cambodia","Walt Technology Cambodia Co Ltd","NO 212 km Highway No 4","Sihanouk ville","18205","Krong Preah Sihano","","Equipment","796","318","478","24","","753","FINISHED GOODS","ZHEJIANG WALT","Nike","SE ASIA"
"China","Walt Technology Group Co., Ltd.","48 Shijing Road","Haining","314400","Zhejiang","","Equipment","855","727","128","9","","394","FINISHED GOODS","ZHEJIANG WALT","Nike","N ASIA"
"USA","Walt USA LLC","2929 N Main St","N Logan","84341","Utah","","Equipment","43","10","33","2","","39","FINISHED GOODS","ZHEJIANG WALT","Nike","AMERICAS"
"Taiwan","Wan Way","No 89 Sec 4","Tainan","70966","Tainan","","Equipment","9","3","6","0","","6","FINISHED GOODS","WAN WAY","Nike","N ASIA"
"China","WELLPOWER SPORTING GOODS CO LTD","NO 112 LIAOFU ROAD","Dongguan","523425","Guangdong","","Equipment","680","503","177","0","","500","FINISHED GOODS","WELLPOWER","Nike","N ASIA"
"Vietnam","WILSON (VIETNAM) LTD","Lot B5 1 Road D11","Trang Bang","840000","Tây Ninh","","Apparel","500","275","225","30","","450","FINISHED GOODS - COMPONENTS","WILSON GARMENT","Nike","SE ASIA"
"Vietnam","Wonjin Korea Glotech Co., Ltd.","Road No 7 Long Thanh IZ","Tam An Village","810000","Ðng Nai","","Footwear","56","31","25","7","","38","FINISHED GOODS - COMPONENTS","WONJIN TECH","Nike","SE ASIA"
"Vietnam","Worldon Vietnam Co., Ltd.","Hoa Phu Commune Cu Chi District","Ho Chi Minh","70000","Ho Chi Minh","","Apparel","6954","5772","1182","0","","6006","FINISHED GOODS","SHENZHOU","Nike","SE ASIA"
"China","Xiamen Expanding Industrial Co., Ltd","NO 21 Siming Park Tongan Industrial Concentration Zone","Xiamen","361000","Fujian","","Apparel","85","48","37","0","","76","FINISHED GOODS","HADDAD","Nike","N ASIA"
"China","Xiamen Goge Garment Co., LTD","Room 703 No 9 to 6 Tongming North Road Tongan District","Xiamen","361113","Fujian","","Apparel","36","31","5","0","","28","FINISHED GOODS","XIAMEN GOGE","Nike","N ASIA"
"China","Xiamen Hongting Garment Co., Ltd.","No175 Ji an Road tongan District","Xiamen","361100","Fujian","","Apparel","103","90","13","0","","93","FINISHED GOODS","HADDAD","Nike","N ASIA"
"China","Xiamen Kaiyuan Technology Co.,Ltd","2nd floor No 250 Jinting North Road","Xiamen","361023","Fujian","","Apparel","25","19","6","0","","19","FINISHED GOODS","XIAMEN KAIYUAN","Nike","N ASIA"
"China","XIANG ZHOU LEATHER CO LTD (CHINA)","Chihu Industry Area Zhangzhou Fujian China","Zhangzhou, Fujian","363209","Fujian","","Footwear","360","162","198","0","","290","MATERIALS","XIANG ZHOU LEATHER","Nike","N ASIA"
"China","Xinchang Shoes Co.,Ltd","Huafeng Industry Garden","Xinning","510000","Guangdong","","Footwear","4405","3832","573","0","","4029","FINISHED GOODS - COMPONENTS","DEAN SHOES","Nike","N ASIA"
"China","XingNing City XinChang Shoes Co., LTD. YeTang Branch","West side of Tongzhong Road Line S225","Meizhou","514000","Guangdong","","Footwear","771","540","231","0","","675","FINISHED GOODS - COMPONENTS","DEAN SHOES","Nike","N ASIA"
"Cambodia","Y&W Garment Co., LTD","Ka To Factory Building Cheung Yue Street","Phnom Penh","120501","Phnom Penh","","Apparel","3750","2175","1575","38","","3179","FINISHED GOODS","Y W GARMENT","Nike","SE ASIA"
